groups	p-value
['TP53', 'SOX9', 'FLNA']	1.083387571576219e-08
['TP53', 'SOX9', 'COL5A1']	4.084452093689231e-06
['TP53', 'SOX9', 'SIN3A']	2.655004827557744e-10
['TP53', 'SOX9', 'MACF1']	3.704446303930251e-06
['TP53', 'SOX9', 'ARID2']	2.444549938709538e-08
['TP53', 'SOX9', 'KEL']	4.1453083836374564e-10
['TP53', 'SOX9', 'CHD4']	9.136338170760971e-08
['TP53', 'SOX9', 'CHD3']	5.812940057708965e-13
['TP53', 'SOX9', 'HUWE1']	4.2329361088504034e-10
['TP53', 'SOX9', 'NCOR1']	5.261340019852711e-07
['TP53', 'SOX9', 'MED12']	2.2784391477960767e-08
['TP53', 'SOX9', 'POLE']	1.2634422320701522e-07
['TP53', 'SOX9', 'NOTCH2']	9.178308292211415e-10
['TP53', 'SOX9', 'CIC']	1.8357722201247317e-09
['TP53', 'SOX9', 'NIPBL']	1.4779455786165953e-06
['TP53', 'SOX9', 'ALK']	1.3330273549444444e-06
['TP53', 'SOX9', 'CDK12']	5.097933591280704e-08
['TP53', 'SOX9', 'EPHA3']	2.4912123352134457e-07
['TP53', 'SOX9', 'ASXL1']	1.896595175632002e-10
['TP53', 'SOX9', 'ZBTB20']	3.8654737452409985e-10
['TP53', 'SOX9', 'USP9X']	2.7269134869568776e-06
['TP53', 'SOX9', 'CARD11']	2.4694326629154097e-09
['TP53', 'SOX9', 'PTCH1']	3.8965049329926623e-10
['TP53', 'SOX9', 'NF1']	3.901996747317218e-08
['TP53', 'SOX9', 'APOB']	6.837389867676662e-08
['TP53', 'SOX9', 'KMT2A']	4.255090646065582e-09
['TP53', 'SOX9', 'POLQ']	2.4912123352134457e-07
['TP53', 'PLCG1', 'DMD']	1.413307402384053e-05
['TP53', 'PDGFRA']	5.404048266591275e-06
['TP53', 'KRAS', 'HLA-B']	0.0009510469363088011
['TP53', 'KRAS', 'MECOM']	0.00507883124919601
['TP53', 'KRAS', 'BCOR']	0.007474427413982802
['TP53', 'KRAS', 'DMD']	0.1836830638415507
['TP53', 'KRAS', 'KANSL1']	0.0484993672994573
['TP53', 'KRAS', 'MYH9']	0.04326102232128979
['TP53', 'KRAS', 'NSD1']	0.009985397051685971
['TP53', 'KRAS', 'ACVR2A']	0.12026105435810451
['TP53', 'KRAS', 'ARID1A']	0.028519965703207317
['TP53', 'KRAS', 'CREBBP']	0.16470758151463377
['TP53', 'KRAS', 'TSC1']	0.0023715533388073587
['TP53', 'KRAS', 'BRCA2']	0.03775103672638066
['TP53', 'KRAS', 'MUC6']	0.01200109724507791
['TP53', 'KRAS', 'SIN3A']	0.001745848177315925
['TP53', 'KRAS', 'SCAF4']	0.06643318439117661
['TP53', 'KRAS', 'SMARCA4']	0.010879992429619787
['TP53', 'KRAS', 'AMER1', 'FBXW7']	0.827321840892543
['TP53', 'KRAS', 'AMER1', 'BRAF']	0.8381459465349734
['TP53', 'KRAS', 'AMER1', 'CARD11']	0.9038165651633241
['TP53', 'KRAS', 'PDS5B']	0.023846028844746694
['TP53', 'KRAS', 'MACF1']	0.18214873592866027
['TP53', 'KRAS', 'HUWE1']	0.07485597661735414
['TP53', 'KRAS', 'MED12']	0.005958683209992641
['TP53', 'KRAS', 'POLE']	0.030096164098009456
['TP53', 'KRAS', 'SETBP1']	0.03806234278128256
['TP53', 'KRAS', 'RPL22']	0.009860191560371686
['TP53', 'KRAS', 'ATRX']	0.010879992429619787
['TP53', 'KRAS', 'CDK12']	0.008970335398511452
['TP53', 'KRAS', 'ZBTB20']	0.037116690500842556
['TP53', 'KRAS', 'RNF43']	0.05614737008629432
['TP53', 'KRAS', 'RNF111']	0.0026257831244216098
['TP53', 'KRAS', 'EP300']	0.0037159651412508967
['TP53', 'KRAS', 'POLQ']	0.008121975811575846
['TP53', 'KRAS', 'RET']	0.0033484015332359007
['TP53', 'KRAS', 'KMT2C']	0.2406801917145769
['TP53', 'KRAS', 'PIK3R1']	0.015655144119766616
['TP53', 'KRAS', 'FAT1']	0.08855644896280347
['TP53', 'KRAS', 'ZFHX3']	0.0036166399562745145
['TP53', 'KRAS', 'EPHA2']	0.0029018199583504206
['TP53', 'KRAS', 'MTOR']	0.11268904930753976
['TP53', 'KRAS', 'CACNA1A']	0.06950864877622803
['TP53', 'KRAS', 'SPTAN1']	0.005614709402219064
['TP53', 'KRAS', 'KMT2D']	0.2921877621533233
['TP53', 'KRAS', 'SETD2']	0.009976567503053643
['TP53', 'KRAS', 'ATM']	0.19189996700591563
['TP53', 'KRAS', 'FLNA']	0.011774214998792285
['TP53', 'KRAS', 'COL5A1']	0.0704528012711908
['TP53', 'KRAS', 'SPTA1']	0.08410129022009946
['TP53', 'KRAS', 'KMT2B']	0.03179981826323588
['TP53', 'KRAS', 'PTPRC']	0.0027088852983685407
['TP53', 'KRAS', 'CHD4']	0.0100106371573663
['TP53', 'KRAS', 'CHD3']	0.015549654874201905
['TP53', 'KRAS', 'NCOR1']	0.020939133215156214
['TP53', 'KRAS', 'CHD8']	0.01675988644204885
['TP53', 'KRAS', 'CIC']	0.005614709402219064
['TP53', 'KRAS', 'NIPBL']	0.18311711583561152
['TP53', 'KRAS', 'DICER1']	0.0010627443746423408
['TP53', 'KRAS', 'EPHA3']	0.07522667465710584
['TP53', 'KRAS', 'PBRM1']	0.001516524328190143
['TP53', 'KRAS', 'USP9X']	0.07021093212266251
['TP53', 'KRAS', 'PTCH1']	0.009083366009070245
['TP53', 'KRAS', 'ABL1']	0.0036379411189352176
['TP53', 'KRAS', 'NF1']	0.009083366009070245
['TP53', 'KRAS', 'MGA']	0.01352252360113447
['TP53', 'KRAS', 'APOB']	0.037015633600643125
['TP53', 'KRAS', 'KMT2A']	0.016714785482554194
['TP53', 'KRAS', 'PTPRD']	0.00507883124919601
['TP53', 'TCF12']	0.0002682840126979046
['TP53', 'MAP3K4']	2.1203876265832604e-08
['TP53', 'TAF1']	2.4835604625709873e-05
['TP53', 'PPM1D']	8.862758271136555e-05
['TP53', 'TSC2']	0.0002682840126979046
['TP53', 'TRAF3']	0.0004761068992732942
['TP53', 'KDM5C']	0.0003834162916960178
['TP53', 'ACVR1B']	9.804459698033279e-06
['TP53', 'PIK3CA', 'ACVR2A']	5.083549407774429e-06
['TP53', 'PIK3CA', 'EPHA3']	2.1998407659607044e-06
['TP53', 'PIK3CA', 'RNF43']	3.716982416880073e-06
['TP53', 'PIK3CA', 'BRAF']	3.238725964312228e-05
['TP53', 'PIK3CA', 'KMT2C']	1.30789742047884e-05
['TP53', 'PIK3CA', 'MACF1']	0.0006426623094303994
['TP53', 'PIK3CA', 'FBXW7']	9.861607973857759e-05
['TP53', 'PIK3CA', 'APOB']	9.737440922440089e-05
['TP53', 'PIK3CA', 'MED12']	3.297819685090976e-08
['TP53', 'PIK3CA', 'ATM']	4.572957480723126e-07
['TP53', 'PIK3CA', 'NCOR1']	1.369875113632491e-06
['TP53', 'ALB']	0.0004761068992732942
['TP53', 'PPP2R1A']	0.0001802787871586914
['TP53', 'ZC3H12A']	6.60540177656822e-05
['TP53', 'NF2']	0.00021230512123738445
['TP53', 'NUP133']	3.2102318252015535e-06
['TP53', 'DNMT3A']	0.0004383167353434889
['TP53', 'JAK1']	7.569834295210533e-06
['TP53', 'CTNND1']	2.4835604625709873e-05
['TP53', 'FGFR3']	6.240404458477329e-05
['TP53', 'POLRMT']	1.1654084242887393e-05
['TP53', 'AXIN2']	6.656186148328703e-06
['TP53', 'BRD7']	0.00047510869726295995
['TP53', 'AKT1']	9.302513516450465e-05
['TP53', 'INPPL1']	0.000595561134295922
['TP53', 'MAP3K1']	0.0002682840126979046
['TP53', 'B2M']	4.2827112897528276e-05
['TP53', 'GRIN2D']	1.702148907746487e-05
['PAX5', 'KRAS']	0.00019401207752075061
['PAX5', 'SOX9']	0.0003228435399905685
['PGR', 'KRAS']	5.7616785486082324e-05
['PLXNB2', 'KRAS']	0.0005410594919887415
['ZCCHC12', 'KRAS']	3.826052220178184e-05
['AR', 'KRAS']	3.211846956370225e-06
['AR', 'SOX9']	0.0002151209814230822
['WT1', 'SOX9']	0.00017972970966990864
['ERCC2', 'KRAS']	0.00013768029987907925
['MLH1', 'KRAS']	0.00024139444919417472
['MLH1', 'PDGFRA']	0.0007130939169163979
['GNA11', 'KRAS']	0.00039677461842111474
