groups	p-value
['FOXA2', 'KRAS', 'CTNNB1', 'PIK3R1', 'MUC6']	0.353740440319776
['FOXA2', 'KRAS', 'CTNNB1', 'PIK3R1', 'COL5A1', 'FBXW7', 'RPL22']	0.9999996941671068
['FOXA2', 'KRAS', 'CTNNB1', 'PIK3R1', 'COL5A1', 'FBXW7', 'RNF43']	0.9999996465121547
['FOXA2', 'KRAS', 'CTNNB1', 'RASA1', 'CTCF', 'RPL22']	0.9993070551957989
['FOXA2', 'KRAS', 'CTNNB1', 'TCF7L2']	1.880305885107819e-10
['FOXA2', 'KRAS', 'CTNNB1', 'JAK1', 'SPOP', 'FGFR2', 'FBXW7']	0.9939061462636906
['FOXA2', 'KRAS', 'CTNNB1', 'JAK1', 'SPOP', 'FGFR2', 'CHD4']	0.9999712303997631
['FOXA2', 'KRAS', 'CTNNB1', 'JAK1', 'SPOP', 'ARHGAP35']	0.23942792000438137
['FOXA2', 'KRAS', 'CTNNB1', 'LZTR1', 'FBXW7', 'RPL22']	0.858321955891229
['FOXA2', 'KRAS', 'CTNNB1', 'ARAF', 'RPL22', 'ARID5B']	0.9866121859083019
['FOXA2', 'KRAS', 'SF3B1', 'RPL22']	0.04602380694120582
['FOXA2', 'KRAS', 'MECOM', 'SPOP']	1.7071486492995102e-10
['FOXA2', 'KRAS', 'SPTA1', 'FBXW7', 'PIK3R1', 'CCND1']	0.6320537721028894
['FOXA2', 'KRAS', 'SPTA1', 'FBXW7', 'PIK3R1', 'RPL22']	0.9825106223395684
['FOXA2', 'KRAS', 'AKT1', 'FBXW7', 'PIK3R1', 'CCND1', 'FGFR2', 'ARID5B']	0.9999980397009431
['FOXA2', 'KRAS', 'AKT1', 'FBXW7', 'PIK3R1', 'RPL22', 'CTCF']	0.9994293182780646
['FOXA2', 'KRAS', 'AKT1', 'FBXW7', 'PIK3R1', 'RPL22', 'FGFR2', 'ARID5B']	0.9999999540752298
['FOXA2', 'KRAS', 'AKT1', 'FBXW7', 'JAK1', 'FGFR2']	0.7299217364212279
['FOXA2', 'KRAS', 'NUP133', 'RNF43']	0.024427848149167205
['FOXA2', 'KRAS', 'ZCCHC12', 'RPL22']	0.0011589992593475176
['FOXA2', 'KRAS', 'DIAPH2', 'RPL22']	0.1513228325136764
['FOXA2', 'KRAS', 'DIAPH2', 'RNF43']	0.22049638777559444
['FOXA2', 'KRAS', 'SMARCA1', 'CCND1']	8.022166784386114e-06
['FOXA2', 'KRAS', 'SMARCA1', 'SPOP', 'RPL22']	0.37816143446281386
['FOXA2', 'KRAS', 'SMARCA1', 'SPOP', 'RNF43']	0.6194920609338629
['FOXA2', 'KRAS', 'DDX3X', 'CCND1', 'FGFR2']	0.0006890395583474594
['FOXA2', 'KRAS', 'EZH2', 'RPL22']	0.0990732124987319
['FOXA2', 'TBL1XR1', 'RPL22']	4.020015750439518e-06
['FOXA2', 'TBL1XR1', 'RNF43']	3.6474979799953973e-06
['FOXA2', 'ARID1A', 'PIK3R1', 'SPOP', 'FBXW7']	0.7135775891982129
['FOXA2', 'ARID1A', 'PIK3R1', 'SPOP', 'ARHGAP35']	0.8216978925164969
['AJUBA', 'KRAS']	0.00038346038342287507
['PPP2R1A', 'GATA3', 'RPL22']	1.0235572249719139e-10
['PPP2R1A', 'MAX']	0.0005499485984673705
['PPP2R1A', 'SCAF4', 'PIK3CA', 'FBXW7', 'CTNNB1', 'RPL22']	0.9998554976635998
['PPP2R1A', 'PTEN', 'FBXW7', 'SPOP']	0.0515630089724697
['PPP2R1A', 'AXIN2', 'PIK3R1', 'CTNNB1', 'PGR', 'SOX17']	0.01637183129357219
['PPP2R1A', 'MAP2K4', 'RPL22']	2.8114330048186876e-06
['PPP2R1A', 'KRAS', 'SF3B1', 'RPL22']	0.02042388050172196
['PPP2R1A', 'KRAS', 'RET']	9.742832038877407e-11
['PPP2R1A', 'KRAS', 'SMC3', 'RPL22']	0.0013520742971347215
['PPP2R1A', 'KRAS', 'FUBP1', 'SPOP', 'NFE2L2']	2.4540017715488997e-06
['PPP2R1A', 'KRAS', 'FUBP1', 'SPOP', 'SOX17', 'ARID5B']	0.3636794538926681
['PPP2R1A', 'KRAS', 'FUBP1', 'ABL1']	1.6839647900674516e-06
['PPP2R1A', 'KRAS', 'RBM10', 'RPL22']	0.008082435683028966
['PPP2R1A', 'KRAS', 'SMARCA1', 'NFE2L2', 'CCND1']	0.0022804488460961567
['PPP2R1A', 'KRAS', 'SMARCA1', 'NFE2L2', 'SPOP', 'RPL22']	0.9201837257837816
['PPP2R1A', 'KRAS', 'SMARCA1', 'NFE2L2', 'SPOP', 'RNF43']	0.8590038143173874
['PPP2R1A', 'KRAS', 'ESR1', 'RPL22']	3.193186079827145e-05
['PPP2R1A', 'KRAS', 'ESR1', 'RNF43']	7.274214683403187e-06
['PPP2R1A', 'KRAS', 'ACVR1', 'ARID5B', 'CHD4', 'CCND1', 'INPPL1']	0.8925361246028539
['PPP2R1A', 'KRAS', 'ACVR1', 'ARID5B', 'CHD4', 'SPOP', 'RNF43']	0.9866248786213394
['PPP2R1A', 'KRAS', 'ACVR1', 'ARID5B', 'CHD4', 'SPOP', 'INPPL1']	0.7475818260255639
['PPP2R1A', 'KRAS', 'ACVR1', 'ARID5B', 'AKT1', 'CCND1']	0.3499406721859182
['PPP2R1A', 'KRAS', 'ACVR1', 'SPTA1', 'CCND1']	0.014272207287137316
['PPP2R1A', 'KRAS', 'ACVR1', 'SMARCA4']	2.7019472938619246e-07
['PPP2R1A', 'KRAS', 'ACVR1', 'RASA1']	5.027213714530571e-07
['PPP2R1A', 'KRAS', 'ACVR1', 'MAP3K1', 'RNF43']	0.39836317990802433
['PPP2R1A', 'KRAS', 'ACVR1', 'SOS1']	1.9458334114204653e-07
['PPP2R1A', 'KRAS', 'ACVR1', 'PTPRD']	1.7317037520616995e-05
['PPP2R1A', 'KRAS', 'KIT', 'CCND1']	2.661627439462577e-07
['PPP2R1A', 'KRAS', 'KIT', 'RPL22']	0.008082435683028966
['PPP2R1A', 'KRAS', 'KIT', 'RNF43']	0.002980853066779551
['PPP2R1A', 'KRAS', 'CTNNB1', 'CASP8', 'NFE2L2', 'CCND1']	0.034479328099719694
['PPP2R1A', 'KRAS', 'CTNNB1', 'CASP8', 'NFE2L2', 'RPL22']	0.2298857163752006
['PPP2R1A', 'KRAS', 'CTNNB1', 'BRAF', 'FGFR2', 'RPL22']	0.2091636955336603
['PPP2R1A', 'KRAS', 'CTNNB1', 'BRAF', 'FGFR2', 'RNF43']	0.3331982285561433
['PPP2R1A', 'KRAS', 'CTNNB1', 'PIK3R1', 'MSH3', 'RNF43', 'SPOP', 'SOX17']	0.9999999999764216
['PPP2R1A', 'KRAS', 'CTNNB1', 'PIK3R1', 'NOTCH1', 'SPOP', 'ARID5B', 'FBXW7', 'PGR']	0.9999999999999964
['PPP2R1A', 'KRAS', 'CTNNB1', 'PIK3R1', 'NOTCH1', 'SPOP', 'ARID5B', 'FBXW7', 'FGFR2']	1.0
['PPP2R1A', 'KRAS', 'CTNNB1', 'PIK3R1', 'NOTCH1', 'SPOP', 'ARID5B', 'SOX17', 'PGR']	0.9999999999999872
['PPP2R1A', 'KRAS', 'CTNNB1', 'PIK3R1', 'NOTCH1', 'SPOP', 'ARID5B', 'SOX17', 'FGFR2']	1.0
['PPP2R1A', 'KRAS', 'CTNNB1', 'PIK3R1', 'BCOR', 'SPOP', 'PIK3CA', 'FBXW7', 'CTCF']	0.9999999999999991
['PPP2R1A', 'KRAS', 'CTNNB1', 'PIK3R1', 'BCOR', 'SPOP', 'PIK3CA', 'FBXW7', 'FGFR2']	0.9999999999999961
['PPP2R1A', 'KRAS', 'CTNNB1', 'PIK3R1', 'FAT1', 'SPOP', 'PIK3CA', 'FBXW7', 'CTCF']	0.9999999999999981
['PPP2R1A', 'KRAS', 'CTNNB1', 'PIK3R1', 'FAT1', 'SPOP', 'PIK3CA', 'FBXW7', 'RNF43', 'FGFR2']	0.9999999999999978
['PPP2R1A', 'KRAS', 'CTNNB1', 'PIK3R1', 'FAT1', 'SPOP', 'SOX17', 'RNF43', 'FGFR2']	1.0
['PPP2R1A', 'KRAS', 'CTNNB1', 'PIK3R1', 'KANSL1', 'SPOP']	0.9845946955916645
['PPP2R1A', 'KRAS', 'CTNNB1', 'PIK3R1', 'ZFHX3', 'FBXW7', 'SPOP']	0.9999999954722663
['PPP2R1A', 'KRAS', 'CTNNB1', 'PIK3R1', 'ACVR2A', 'SPOP', 'SOX17', 'FGFR2', 'ARID5B', 'INPPL1']	0.999999999999999
['PPP2R1A', 'KRAS', 'CTNNB1', 'PIK3R1', 'ACVR2A', 'SPOP', 'MTOR']	0.9999890810366779
['PPP2R1A', 'KRAS', 'CTNNB1', 'PIK3R1', 'ACVR2A', 'SPOP', 'FBXW7', 'CTCF', 'PIK3CA']	0.9999999999999976
['PPP2R1A', 'KRAS', 'CTNNB1', 'PIK3R1', 'ACVR2A', 'SPOP', 'FBXW7', 'FGFR2', 'PLXNB2']	1.0
['PPP2R1A', 'KRAS', 'CTNNB1', 'PIK3R1', 'ACVR2A', 'SPOP', 'FBXW7', 'FGFR2', 'INPPL1', 'PIK3CA']	1.0
['PPP2R1A', 'KRAS', 'CTNNB1', 'PIK3R1', 'ACVR2A', 'SPOP', 'FBXW7', 'FGFR2', 'INPPL1', 'ARID5B']	1.0
['PPP2R1A', 'KRAS', 'CTNNB1', 'PIK3R1', 'ACVR2A', 'SPOP', 'RB1', 'CTCF']	0.9999999999999979
