groups	p-value
['TP53', 'SMAD4', 'PIK3CA', 'NOTCH1', 'ERBB4']	0.2652260430644404
['TP53', 'SMAD4', 'PIK3CA', 'NOTCH1', 'SPTA1']	0.3190244561645216
['TP53', 'SMAD4', 'PIK3CA', 'KMT2C']	0.000180351494106685
['TP53', 'SMAD4', 'PIK3CA', 'APOB']	0.0015473538127619834
['TP53', 'SMAD4', 'PIK3CA', 'PGR']	1.463737463080448e-06
['TP53', 'SMAD4', 'PIK3CA', 'MED12']	1.1479745928022685e-06
['TP53', 'SMAD4', 'SOS1']	0.00011659564819309198
['TP53', 'SMAD4', 'ACVR1B']	4.584150358110766e-06
['TP53', 'SMAD4', 'PLCG1']	6.797989894110464e-05
['TP53', 'SMAD4', 'ARHGAP35']	2.940791404197804e-05
['TP53', 'SMAD4', 'ACVR2A']	5.15702797589148e-10
['TP53', 'SMAD4', 'MAP3K4']	6.675676058365401e-06
['TP53', 'SMAD4', 'FGFR2']	0.00011764773243360721
['TP53', 'SMAD4', 'CHD4']	3.9321438573987414e-05
['TP53', 'SMAD4', 'FBXW7', 'SPTA1']	0.1257234703956518
['TP53', 'SMAD4', 'SETD2']	4.398033998657384e-06
['TP53', 'SMAD4', 'CHD8']	1.5990473604449276e-05
['TP53', 'SMAD4', 'KDM5C']	1.8887120147568466e-05
['TP53', 'SMAD4', 'TAF1']	3.922755078560966e-07
['TP53', 'SMAD4', 'HLA-B']	8.09029558851136e-06
['TP53', 'SMAD4', 'CTNND1']	4.8109998191527986e-05
['TP53', 'SMAD4', 'MSH3']	2.3458467106397735e-05
['TP53', 'SMAD4', 'NSD1']	1.9732264669495298e-05
['TP53', 'SMAD4', 'PTPDC1']	2.914937677266537e-05
['TP53', 'SMAD4', 'CNBD1']	0.00014405764067054538
['TP53', 'SMAD4', 'TSC2']	1.0491166189830181e-05
['TP53', 'SMAD4', 'SF1']	1.885086782031533e-05
['TP53', 'SMAD4', 'PDS5B']	1.2810870024792183e-05
['TP53', 'SMAD4', 'SMARCA4']	4.713931200345205e-06
['TP53', 'SMAD4', 'SETBP1']	1.493925116140217e-06
['TP53', 'SMAD4', 'KIT']	0.00023061988469966712
['TP53', 'SMAD4', 'KMT2B']	1.1894863140832184e-07
['TP53', 'SMAD4', 'BCOR', 'SPTA1']	0.0015953399328825493
['TP53', 'SMAD4', 'NUP133']	1.8356366361103114e-06
['TP53', 'SMAD4', 'SOX9', 'SIN3A']	5.5254774501154674e-05
['TP53', 'SMAD4', 'SOX9', 'ASXL1']	7.519644329199461e-05
['TP53', 'SMAD4', 'SOX9', 'ZC3H12A', 'ERBB4']	0.019611207358575616
['TP53', 'SMAD4', 'SOX9', 'CHD3']	3.352186313915099e-06
['TP53', 'SMAD4', 'SOX9', 'FLNA']	3.404579328871207e-06
['TP53', 'SMAD4', 'SOX9', 'FAT1']	0.00010063543144768315
['TP53', 'SMAD4', 'SOX9', 'ZFHX3']	1.0190447199314991e-05
['TP53', 'SMAD4', 'SOX9', 'APOB']	0.003840763709503222
['TP53', 'SMAD4', 'SOX9', 'COL5A1']	0.00771608654020773
['TP53', 'SMAD4', 'SOX9', 'MYH9']	1.4352509827922955e-05
['TP53', 'SMAD4', 'SOX9', 'MGA']	1.7490385449050695e-05
['TP53', 'SMAD4', 'SOX9', 'NOTCH2']	2.65866445764873e-05
['TP53', 'SMAD4', 'SOX9', 'DMD']	0.004378019413739921
['TP53', 'SMAD4', 'SOX9', 'NCOR1']	0.0004612886166568041
['TP53', 'SMAD4', 'SOX9', 'GNAS']	0.0015891921370602396
['TP53', 'SMAD4', 'SOX9', 'MACF1']	0.0006857329554870377
['TP53', 'SMAD4', 'SOX9', 'KMT2C']	1.5952802637537227e-05
['TP53', 'SMAD4', 'SOX9', 'PLXNB2']	8.101422763512247e-05
['TP53', 'SMAD4', 'SOX9', 'PTEN']	6.929365766252247e-05
['TP53', 'SMAD4', 'SOX9', 'ZBTB20']	5.465414423018927e-07
['TP53', 'SMAD4', 'SOX9', 'RNF43']	2.9406797650784076e-05
['TP53', 'SMAD4', 'SOX9', 'ASXL2']	6.911362854418518e-05
['TP53', 'SMAD4', 'SOX9', 'CDH1', 'ERBB3']	0.00025124588052455717
['TP53', 'SMAD4', 'SOX9', 'BRAF']	0.00011198696486511768
['TP53', 'SMAD4', 'SOX9', 'CARD11', 'SPTA1']	0.37308584832046326
['TP53', 'SMAD4', 'SOX9', 'BRCA2']	1.8702106618738423e-05
['TP53', 'SMAD4', 'SOX9', 'SPTAN1']	4.169448434822671e-05
['TP53', 'SMAD4', 'SOX9', 'SMARCA1']	0.00022805105395058603
['TP53', 'SMAD4', 'SOX9', 'HUWE1']	1.3657430933034335e-05
['TP53', 'SMAD4', 'SOX9', 'PTPRD']	0.0031980525567688518
['TP53', 'SMAD4', 'SOX9', 'ESR1']	3.4739324833491926e-05
['TP53', 'SMAD4', 'SOX9', 'CREBBP']	8.23581927625218e-05
['TP53', 'SMAD4', 'SOX9', 'ATM']	6.274631439089782e-07
['TP53', 'SMAD4', 'SOX9', 'NF1']	0.00031159390554683704
['TP53', 'SMAD4', 'SOX9', 'RET']	0.0001107200851420311
['TP53', 'SMAD4', 'SOX9', 'NOTCH1', 'PIK3R1']	0.011571814825480493
['TP53', 'SMAD4', 'SOX9', 'NOTCH1', 'ERBB4']	0.34357571552263266
['TP53', 'SMAD4', 'SOX9', 'NOTCH1', 'SPTA1']	0.34888100515670395
['TP53', 'SMAD4', 'SOX9', 'PTCH1']	0.0009848069448615648
['TP53', 'SMAD4', 'SOX9', 'KMT2D']	2.364385242599341e-06
['TP53', 'SMAD4', 'SOX9', 'CACNA1A']	0.00014680579902914213
['TP53', 'SMAD4', 'SOX9', 'PGR']	0.00036727244983851006
['TP53', 'SMAD4', 'SOX9', 'ZMYM2']	1.4776282507323327e-05
['TP53', 'SMAD4', 'SOX9', 'TCF7L2']	7.935972265856642e-05
['TP53', 'SMAD4', 'SOX9', 'JAK1']	0.0012953914703162119
['TP53', 'SMAD4', 'SOX9', 'PTPRC']	0.001853096231247456
['TP53', 'SMAD4', 'SOX9', 'ARID1A']	1.2014436406791837e-08
['TP53', 'SMAD4', 'SOX9', 'MUC6']	0.0007284249014747541
['TP53', 'SMAD4', 'SOX9', 'PBRM1']	4.455141273978276e-06
['TP53', 'SMAD4', 'SOX9', 'KMT2A']	1.250375918946042e-05
['TP53', 'SMAD4', 'SOX9', 'ARID2']	0.00046284647833047993
['TP53', 'SMAD4', 'SOX9', 'MECOM']	9.183480876413137e-05
['TP53', 'SMAD4', 'SOX9', 'NIPBL']	0.00016525313905448564
['TP53', 'SMAD4', 'MSH6']	1.6867783935603193e-05
['TP53', 'SMAD4', 'RNF111']	2.5181733423903373e-06
['TP53', 'SMAD4', 'INPPL1', 'SPTA1']	0.00263339411947333
['TP53', 'SMAD4', 'POLRMT']	0.00023336918254765183
['TP53', 'SMAD4', 'ABL1']	8.174971339903266e-06
['TP53', 'PIK3CA', 'EPHA3', 'NOTCH1']	5.119943901455622e-05
['TP53', 'PIK3CA', 'ERBB2', 'APOB']	6.012806829885881e-05
['TP53', 'PIK3CA', 'RARA']	2.198802241744385e-18
['TP53', 'STAG2']	2.0751404400975687e-05
['TP53', 'SOS1', 'RHOA']	7.226011328118405e-08
['TP53', 'TCF12']	7.07451728930311e-08
['TP53', 'CTNNB1', 'SOX9']	1.3450333339006331e-11
['TP53', 'CTNNB1', 'TSC2']	3.3756813128531386e-07
['TP53', 'PLCB4']	4.8419067120081294e-05
['TP53', 'PMS1']	0.00022589377557555253
['TP53', 'TGIF1', 'SMARCA4']	3.2536217676105813e-09
['TP53', 'TGIF1', 'SOX9', 'NOTCH1']	1.3153153452103327e-08
['TP53', 'TGIF1', 'SOX9', 'DMD']	3.6996198098864325e-07
['TP53', 'TGIF1', 'SOX9', 'CDH1']	2.9808088263758457e-14
['TP53', 'TGIF1', 'SOX9', 'HUWE1']	6.858581515509732e-12
['TP53', 'TGIF1', 'TAF1']	6.599471917593445e-10
['TP53', 'PPP2R1A']	0.0004247889261832741
['TP53', 'CARD11', 'RHOA']	1.905456968794357e-10
['TP53', 'BRD7']	6.247888804333226e-05
['TP53', 'DACH1', 'SOX9']	3.081688578764017e-11
['TP53', 'ATRX']	1.550132827964946e-06
